,X,Y
0,0,tensor(-0.0345)
1,1,tensor(17.7139)
2,2,tensor(20.4720)
3,3,tensor(22.8039)
4,4,tensor(22.8253)
5,5,tensor(23.8979)
6,6,tensor(23.7811)
7,7,tensor(24.3586)
8,8,tensor(24.3058)
9,9,tensor(24.8272)
10,10,tensor(25.0209)
11,11,tensor(25.6749)
12,12,tensor(25.3831)
13,13,tensor(25.4781)
14,14,tensor(25.3086)
15,15,tensor(25.9866)
16,16,tensor(26.7755)
17,17,tensor(26.6940)
18,18,tensor(26.9143)
19,19,tensor(26.5523)
20,20,tensor(26.6463)
21,21,tensor(27.6118)
22,22,tensor(27.0952)
23,23,tensor(28.1201)
24,24,tensor(28.1161)
25,25,tensor(28.6115)
26,26,tensor(27.9858)
27,27,tensor(28.6338)
28,28,tensor(28.3753)
29,29,tensor(29.3233)
30,30,tensor(29.9805)
31,31,tensor(28.1228)
32,32,tensor(26.2496)
33,33,tensor(24.4577)
34,34,tensor(23.5643)
35,35,tensor(22.9586)
36,36,tensor(22.2698)
37,37,tensor(22.6497)
38,38,tensor(23.4649)
39,39,tensor(24.3089)
40,40,tensor(23.3445)
41,41,tensor(22.9250)
42,42,tensor(23.3028)
43,43,tensor(23.3634)
44,44,tensor(22.9653)
45,45,tensor(23.9369)
46,46,tensor(24.3771)
47,47,tensor(24.1250)
48,48,tensor(25.1517)
49,49,tensor(25.8039)
50,50,tensor(26.3104)
51,51,tensor(25.7383)
52,52,tensor(25.2277)
53,53,tensor(24.6120)
54,54,tensor(23.5379)
55,55,tensor(22.9904)
56,56,tensor(22.4531)
57,57,tensor(22.0108)
58,58,tensor(22.5945)
59,59,tensor(22.2397)
60,60,tensor(22.5274)
61,61,tensor(23.0717)
62,62,tensor(23.6672)
63,63,tensor(23.8705)
64,64,tensor(24.0850)
65,65,tensor(24.7077)
66,66,tensor(23.9201)
67,67,tensor(24.9613)
68,68,tensor(24.8676)
69,69,tensor(24.7016)
70,70,tensor(24.9837)
71,71,tensor(25.8785)
72,72,tensor(25.9178)
73,73,tensor(25.0114)
74,74,tensor(26.3599)
75,75,tensor(26.5723)
76,76,tensor(25.3104)
77,77,tensor(24.5133)
78,78,tensor(24.1585)
79,79,tensor(24.0465)
80,80,tensor(25.2304)
81,81,tensor(24.7012)
82,82,tensor(25.0235)
83,83,tensor(25.2102)
84,84,tensor(24.8016)
85,85,tensor(25.6623)
86,86,tensor(26.0214)
87,87,tensor(26.5785)
88,88,tensor(27.1019)
89,89,tensor(27.5276)
90,90,tensor(28.0902)
91,91,tensor(27.0771)
92,92,tensor(26.2516)
93,93,tensor(25.6590)
94,94,tensor(25.2462)
95,95,tensor(25.4619)
96,96,tensor(26.1925)
97,97,tensor(27.1027)
98,98,tensor(26.1202)
99,99,tensor(24.4389)
100,100,tensor(23.2108)
101,101,tensor(22.8497)
102,102,tensor(22.3589)
103,103,tensor(22.9676)
104,104,tensor(22.6738)
105,105,tensor(23.2285)
106,106,tensor(23.0081)
107,107,tensor(22.0642)
108,108,tensor(21.6387)
109,109,tensor(21.6679)
110,110,tensor(20.7720)
111,111,tensor(21.3331)
112,112,tensor(21.9349)
113,113,tensor(22.6876)
114,114,tensor(23.2292)
115,115,tensor(23.3158)
116,116,tensor(23.0499)
117,117,tensor(22.4936)
118,118,tensor(22.6695)
119,119,tensor(22.7502)
120,120,tensor(23.5327)
121,121,tensor(23.8863)
122,122,tensor(24.3142)
123,123,tensor(24.2430)
124,124,tensor(24.4305)
125,125,tensor(25.3801)
126,126,tensor(25.8107)
127,127,tensor(25.5360)
128,128,tensor(26.6890)
129,129,tensor(26.5291)
130,130,tensor(26.6357)
131,131,tensor(26.8603)
132,132,tensor(27.1736)
133,133,tensor(27.2163)
134,134,tensor(26.5207)
135,135,tensor(26.4589)
136,136,tensor(24.9370)
137,137,tensor(24.5280)
138,138,tensor(23.7450)
139,139,tensor(23.1170)
140,140,tensor(22.8337)
141,141,tensor(22.5753)
142,142,tensor(22.8571)
143,143,tensor(22.7612)
144,144,tensor(21.8957)
145,145,tensor(21.6896)
146,146,tensor(21.2369)
147,147,tensor(21.5129)
148,148,tensor(22.7655)
149,149,tensor(23.6518)
150,150,tensor(23.1625)
151,151,tensor(22.4376)
152,152,tensor(21.7902)
153,153,tensor(21.7297)
154,154,tensor(22.2479)
155,155,tensor(22.5938)
156,156,tensor(22.0013)
157,157,tensor(21.4526)
158,158,tensor(21.7239)
159,159,tensor(22.1898)
160,160,tensor(21.8247)
161,161,tensor(22.4728)
162,162,tensor(22.6346)
163,163,tensor(22.6746)
164,164,tensor(21.7878)
165,165,tensor(21.6364)
166,166,tensor(21.6677)
167,167,tensor(22.6729)
168,168,tensor(23.0652)
169,169,tensor(23.1566)
170,170,tensor(23.4071)
171,171,tensor(23.8581)
172,172,tensor(24.5387)
173,173,tensor(24.2671)
174,174,tensor(25.2293)
175,175,tensor(25.0196)
176,176,tensor(24.8038)
177,177,tensor(24.6788)
178,178,tensor(25.0631)
179,179,tensor(25.4974)
180,180,tensor(25.8847)
